mcsteps,1,2,3,4,5,6,7,8,9,10,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
790000,2956.0,0.0,2.0,123.0,7.0,1.0,15.0,2.0,221.0,105.0,1.0170693e-08,2.3739285e-11,3.5910758e-12,4.1315259e-13,2.479922e-11,1.06385435e-10,1.8227782e-09,8.200839e-11,1.1900952e-11,4.073889e-12,2.1854273e-10,3.522664e-10
800000,2956.0,8.0,78.0,132.0,9.0,1.0,34.0,4.0,224.0,108.0,1.02542685e-08,2.3885355e-11,3.6550047e-12,4.341455e-13,2.2713784e-11,1.0441633e-10,1.8318648e-09,8.491198e-11,1.1929325e-11,4.0916185e-12,2.0691612e-10,3.3599132e-10
810000,2956.0,8.0,49.0,131.0,7.0,1.0,47.0,6.0,220.0,109.0,1.0342256e-08,2.46984e-11,3.6313053e-12,4.255447e-13,2.6751382e-11,1.07841694e-10,1.8406299e-09,9.6045e-11,1.1686248e-11,3.8847168e-12,2.3255176e-10,3.4486172e-10
820000,2956.0,6.0,37.0,130.0,7.0,1.0,46.0,6.0,229.0,110.0,1.0406221e-08,2.4256366e-11,4.316267e-12,5.78981e-13,2.5348997e-11,1.108556e-10,1.8895405e-09,8.772124e-11,4.9522227e-11,1.075969e-11,2.1785374e-10,3.5406547e-10
830000,2956.0,4.0,19.0,129.0,9.0,1.0,53.0,4.0,231.0,111.0,1.04969065e-08,2.4351781e-11,4.946713e-12,6.938367e-13,2.6014944e-11,1.1707116e-10,1.8997723e-09,9.167135e-11,6.927275e-11,1.4644903e-11,2.2562616e-10,3.7164063e-10
840000,2956.0,3.0,14.0,129.0,10.0,1.0,42.0,6.0,244.0,111.0,1.0583704e-08,2.2949673e-11,4.3233386e-12,5.633577e-13,2.4623588e-11,1.2323878e-10,1.909606e-09,7.276689e-11,4.9450097e-11,1.0666009e-11,2.1071976e-10,3.8841383e-10
850000,2956.0,3.0,10.0,129.0,9.0,1.0,39.0,2.0,248.0,111.0,1.06785345e-08,2.2430651e-11,5.019162e-12,7.07146e-13,2.2795684e-11,1.2762541e-10,1.9234563e-09,6.4466404e-11,6.902259e-11,1.4624095e-11,1.9466231e-10,4.0345075e-10
860000,2956.0,2.0,7.0,126.0,9.0,1.0,34.0,5.0,253.0,114.0,1.0786282e-08,2.267349e-11,4.3297722e-12,5.588195e-13,2.3576786e-11,1.2387921e-10,1.9049335e-09,7.138144e-11,4.9620585e-11,1.064686e-11,2.0572352e-10,3.8129733e-10
870000,2956.0,2.0,5.0,123.0,7.0,0.0,30.0,2.0,261.0,117.0,1.086175e-08,2.2549532e-11,4.2885335e-12,5.463291e-13,2.4601477e-11,1.2818603e-10,1.9352075e-09,7.105344e-11,4.967626e-11,1.0622803e-11,2.0473015e-10,3.9030318e-10
880000,2956.0,2.0,4.0,118.0,7.0,0.0,28.0,1.0,257.0,122.0,1.093821e-08,2.2501766e-11,3.8640198e-12,4.6691215e-13,2.3289436e-11,1.3066895e-10,1.9595514e-09,7.025136e-11,1.4288433e-11,3.8459444e-12,1.995825e-10,3.9242107e-10
890000,2956.0,1.0,3.0,117.0,7.0,0.0,21.0,3.0,262.0,123.0,1.10292575e-08,2.1828386e-11,4.3031403e-12,5.619243e-13,2.3885907e-11,1.4027549e-10,1.9637263e-09,6.215037e-11,4.9594724e-11,1.0613207e-11,1.9476572e-10,4.2142873e-10
900000,2955.0,10.0,72.0,125.0,8.0,0.0,49.0,1.0,263.0,128.0,1.1110226e-08,2.1389631e-11,4.2305803e-12,5.60137e-13,2.2906623e-11,1.3682167e-10,1.9739974e-09,5.371289e-11,4.1990664e-11,1.0197652e-11,1.890612e-10,4.0299938e-10
910000,2955.0,7.0,54.0,122.0,9.0,0.0,54.0,2.0,273.0,131.0,1.1185949e-08,2.2424708e-11,3.6275924e-12,4.530895e-13,2.5093103e-11,1.432782e-10,1.993661e-09,7.6228406e-11,1.174789e-11,3.766134e-12,2.1007544e-10,4.2191606e-10
